Disease,Synonyms,icd10_regex,Onset Acute,Onset Chronic,Diarrhea Watery,Diarrhea Bloody,Diarrhea Fatty,Fever,Abdominal Pain,Weight Loss,Oral mucosal lesions,Hepatosplenomegaly,Nausea or Vomiting,Dehydration,Abdominal Distention,Abdominal Tenderness,Blood on Rectal Examination,Fecal Incontinence,Abnormal Bowel Sounds
Abetalipoproteinemia,Bassen-Kornzweig disease; lipoprotein deficiency; familial abetalipoproteinemia,^E786$,-1,1,1,-1,1,-1,1,1,0,0,0,0,1,0,0,0,0
Adenovirus,adenoviral enteritis,^A082$,1,-1,1,-1,-1,1,1,-1,0,0,0,0,1,0,0,0,0
Aeromonas,Aeromonas enteritis; Aeromonas gastroenteritis,^A048\d*$,1,1,1,1,-1,1,1,-1,0,0,0,0,1,1,0,0,1
Bacterial food poisoning,foodborne intoxication,^A05\d*$,1,-1,1,0,-1,1,1,0,0,0,0,0,1,0,0,0,0
Bile acid malabsorption,bile salt diarrhea; bile acid diarrhea,^K9089$,-1,1,1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0
Campylobacteriosis,Campylobacter enteritis,^A045$,1,-1,1,1,-1,1,1,-1,0,0,0,0,0,1,0,0,0
Carcinoid tumor,neuroendocrine tumor; carcinoid; NET,^(D3A\d*|C7A\d*|C7B\d*)$,-1,1,1,1,-1,-1,1,1,0,0,0,0,1,0,0,0,0
Celiac disease,gluten-sensitive enteropathy; celiac sprue,^K900$,-1,1,0,-1,0,-1,1,1,1,1,0,0,1,0,0,0,1
Chronic pancreatitis,chronic pancreatitis; alcohol-induced chronic pancreatitis,^K86(0\d*|1)$,-1,1,1,-1,1,-1,1,1,0,0,0,0,0,1,0,0,0
CMV colitis,cytomegalovirus colitis; cytomegaloviral colitis,^B258$,1,1,-1,1,-1,0,1,-1,0,0,0,0,0,1,0,0,0
Colorectal cancer,colon cancer; rectal cancer; colorectal carcinoma,^(C18\d*|C19\d*|C20\d*)$,-1,1,1,1,1,-1,1,1,0,0,0,0,0,1,0,0,0
Crohn's disease,regional enteritis; ileitis; Crohn disease,^K50\d*$,-1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
Cryptosporidium,cryptosporidiosis,^A072$,-1,1,1,-1,-1,-1,1,1,0,0,0,0,1,1,0,0,0
Cystic fibrosis,CF,^E84\d*$,-1,1,-1,-1,1,0,1,1,0,1,0,0,1,0,0,0,0
Diabetic neuropathy,diabetic peripheral neuropathy; diabetic polyneuropathy,^(E10(4\d*)|E11(4\d*)|E13(4\d*)|G632)$,-1,1,1,-1,1,-1,1,1,0,0,0,0,0,0,0,1,0
Drug-induced diarrhea,drug-induced diarrhea; medication side effect,^K521$,1,1,1,-1,0,0,1,1,0,0,0,1,1,0,0,0,0
Dumping syndrome,postgastrectomy dumping syndrome; postvagotomy syndrome,^K911$,-1,1,1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,1
EAEC,enteroaggregative E. coli; enteroaggregative Escherichia coli,^A044\d*$,1,1,1,1,-1,-1,1,-1,0,0,0,0,0,1,0,0,0
Echovirus,echovirus enteritis; viral enteritis (echovirus),^A083\d*$,1,-1,1,-1,-1,1,1,-1,0,0,0,0,1,0,0,0,0
EHEC,enterohemorrhagic E. coli; STEC,^A043\d*$,1,-1,1,1,-1,-1,1,-1,0,0,0,0,0,1,0,0,0
EIEC,enteroinvasive E. coli,^A042\d*$,1,-1,1,1,-1,1,1,-1,0,0,0,0,0,1,0,0,0
Entamoeba histolytica,amebiasis; amoebic dysentery,^A06\d*$,1,1,1,1,-1,1,1,-1,0,0,0,0,1,1,0,0,0
EPEC,enteropathogenic E. coli,^A040\d*$,1,1,1,1,-1,1,1,1,0,0,0,0,0,1,0,0,0
ETEC,enterotoxigenic E. coli; traveler's diarrhea,^A041\d*$,1,-1,1,-1,-1,1,-1,-1,0,0,0,0,0,1,0,0,0
Factitious diarrhea,factitious disorder with physical symptoms; laxative abuse,^F681$,1,1,1,-1,-1,-1,1,1,0,0,0,0,1,0,0,0,0
Giardia,giardiasis; lambliasis,^A071$,-1,1,1,-1,1,-1,1,1,0,0,0,0,1,1,0,0,0
Heavy metal ingestion,heavy metal poisoning,^T56\d*$,-1,1,1,-1,-1,-1,1,1,0,0,0,0,1,0,0,0,0
HIV,HIV disease; human immunodeficiency virus infection,^(B20\d*|Z21)$,-1,1,1,-1,-1,1,1,1,0,0,0,0,1,1,0,0,0
Hyperthyroidism,thyrotoxicosis,^E05\d*$,-1,1,1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
