,recall,precision,micro_f1,recall_history,precision_history,f1_history,recall_medication,precision_medication,f1_medication,recall_chronic,precision_chronic,f1_chronic,missed_primary,missed_history,missed_medication,missed_chronic,missed_any,symptom_fp,extra_codes,duplicate_subcodes,hallucinated_fp,recall_primary_at_1,recall_primary_at_2,recall_primary_at_3,recall_primary
06b_base,0.6,16.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.7,25.8,3.2,98.9,65.9,32.6,89.0,100.0,0.1,0.2,0.0,26.5,0.7,1.0,1.1,1.1
06b_full,42.5,45.0,43.7,61.0,34.5,44.1,80.4,54.7,65.1,56.3,58.7,57.5,37.0,35.0,6.4,71.9,97.0,31.5,44.9,0.0,98.4,6.8,14.1,20.6,63.0
06b_lora,41.6,45.0,43.3,59.5,34.5,43.7,73.9,55.7,63.5,56.3,57.4,56.9,37.0,35.4,8.5,71.3,96.9,23.0,43.1,0.0,99.0,11.3,18.8,26.0,63.0
8b_base,13.5,35.1,19.5,5.1,25.7,8.5,0.0,0.0,0.0,25.8,58.4,35.8,60.1,64.1,32.6,85.9,99.4,28.3,6.1,0.0,96.9,8.5,17.5,27.3,39.9
8b_full,39.3,48.7,43.5,48.9,41.3,44.7,61.0,63.1,62.1,54.8,58.1,56.4,35.2,43.1,12.7,73.3,97.3,22.8,31.0,0.0,93.5,16.5,27.0,33.5,64.8
8b_lora,11.2,43.5,17.9,3.8,45.2,7.0,2.1,48.4,4.0,19.0,62.7,29.1,64.7,64.5,32.0,84.6,98.9,25.9,5.4,0.0,59.8,13.0,22.4,28.5,35.3
14b_base,30.1,30.8,30.4,31.6,20.0,24.5,22.3,36.5,27.7,44.9,50.5,47.5,36.5,53.5,25.4,79.3,98.1,54.0,47.5,0.0,100.0,14.8,28.0,35.4,63.5
14b_full,46.4,52.0,49.0,53.3,44.6,48.5,78.1,61.1,68.6,62.6,62.5,62.6,34.6,40.4,7.1,66.7,96.7,33.8,36.8,0.0,95.7,10.6,17.2,24.2,65.4
14b_lora,48.2,46.8,47.5,66.0,35.3,46.0,74.3,55.1,63.3,62.8,60.9,61.8,33.2,29.5,8.4,67.3,96.6,31.5,51.7,0.0,98.7,7.1,12.8,20.1,66.8
32b_base,31.0,36.4,33.5,20.0,25.4,22.4,4.6,50.0,8.5,49.8,52.5,51.1,43.5,57.6,31.1,76.2,98.1,29.9,36.5,0.0,99.8,7.4,16.1,25.2,56.5
32b_full,50.8,50.2,50.5,65.5,44.7,53.1,85.4,61.6,71.6,65.0,62.9,63.9,32.5,32.8,4.8,65.5,96.0,46.4,47.6,0.0,97.1,9.3,17.5,24.4,67.5
32b_lora,51.8,47.6,49.6,63.3,42.2,50.7,79.5,61.4,69.3,65.7,62.1,63.8,31.1,34.0,6.7,65.6,96.0,41.2,56.2,0.0,98.6,5.3,12.7,21.7,68.9
