size,variant,granularity,metric_type,recall,precision,f1
06b,base,category,micro,0.00616248683646008,0.09127671865973426,0.01154548776032152
06b,base,category,macro,0.0007537239859762364,0.003779192816194097,0.0010718582373280376
06b,base,full,micro,0.00037107128279342464,0.002173913043478261,0.0006339345145646455
06b,base,full,macro,0.00013980680897211466,0.0005912813102119461,0.00021456775243427256
06b,full,category,micro,0.4248995670657982,0.4484788604833066,0.43637091928700183
06b,full,category,macro,0.09236106540668243,0.11035274498255268,0.09339759170058232
06b,full,full,micro,0.2537756503024231,0.21210147624364223,0.23107462030983394
06b,full,full,macro,0.01746434614062938,0.018575166506221052,0.015450838011476302
8b,base,category,micro,0.13526268575217443,0.33598139895369117,0.19287561524985403
8b,base,category,macro,0.04077974893153417,0.07713737390995846,0.04255717696784617
8b,base,full,micro,0.03280270139893873,0.07761194029850746,0.04611492214194424
8b,base,full,macro,0.004430168197136856,0.008220702663283615,0.003761932551827487
8b,full,category,micro,0.39315105893365576,0.4820429439051217,0.4330827067669173
8b,full,category,macro,0.11707335335256056,0.15384132784191357,0.12059349691472804
8b,full,full,micro,0.23563026457382463,0.17025498029332117,0.1976776764312175
8b,full,full,macro,0.02001393428130369,0.021650475413758977,0.016911072385817145
14b,base,category,micro,0.3010257810367019,0.29690325062512024,0.29895030406321416
14b,base,category,macro,0.11005131559916233,0.11563996477347213,0.0880019558663287
14b,base,full,micro,0.0959590337303796,0.07278356318603997,0.08277981401750989
14b,base,full,macro,0.013757050878883879,0.016339142004476073,0.01025917281519884
14b,full,category,micro,0.46316158976559146,0.5169111565751099,0.4885624948572369
14b,full,category,macro,0.16528867326620406,0.19764739346668583,0.16750492477059103
14b,full,full,micro,0.2852424950833055,0.23570355379756538,0.25811759175313115
14b,full,full,macro,0.031940515163925064,0.038195886685995925,0.030661410714366656
32b,base,category,micro,0.30945044658528026,0.3506740331491713,0.328775070445881
32b,base,category,macro,0.1170150803285903,0.11876149538369504,0.09578984227358653
32b,base,full,micro,0.153104011280567,0.16439556936807714,0.15854900378504044
32b,base,full,macro,0.017622713600928736,0.021081005999324224,0.013812862075757475
32b,full,category,micro,0.5072740746518976,0.4996158574062692,0.5034158425422384
32b,full,category,macro,0.18781121474808518,0.2114310205057742,0.1875167449789103
32b,full,full,micro,0.31730305391665736,0.22831281873281178,0.26555075929318966
32b,full,full,macro,0.03897844779571043,0.04134966280488964,0.03516978970105266
